sentence_id,language_code,language_name,text
5000,eng_Latn,English,Delete Thread
5000,ne,Nepali,थ्रेड मेट्नुहोस्
5001,eng_Latn,English,Treize
5001,ne,Nepali,ट्रेइज
5002,eng_Latn,English,(Descending)
5002,ne,Nepali,(घट्दो क्रम)
5003,eng_Latn,English,Move right
5003,ne,Nepali,दाँया सार्नुहोस्
5004,eng_Latn,English,Clean module associated with current file
5004,ne,Nepali,हालको फाइलसँग जोडिएका मोड्युल हटाउन सफा गर्नुहोस्
5005,eng_Latn,English,Hint: Column %d
5005,ne,Nepali,सङ्केत: स्तम्भ %d
5006,eng_Latn,English,Subversion: Diff complete.
5006,ne,Nepali,उपसंस्करण: फरक फाइल/डाइरेक्टरी
5007,eng_Latn,English,Tar compressed with lzip (.tar.lz)
5007,ne,Nepali,lzop सँग सङ्कुचितTar (.tar.lzo)
5008,eng_Latn,English,"This function returns the probability quantile function, i.e., the inverse of the cumulative distribution function, of the geometric distribution."
5008,ne,Nepali,"यो कार्यले संभाव्य क्वान्टाइल कार्य फर्काउँछ, यसको मतलब यो ज्यामितिय वितरणको, क्युमुलेटिभ वितरण कार्यको उल्टा हो।"
5009,eng_Latn,English,Error connecting to wireless network
5009,ne,Nepali,ताररहित संजाल '%s' सम्पर्क गरिदै...
5010,eng_Latn,English,- Empathy IM Client
5010,ne,Nepali,इम्प्याथी शीघ्र मेसेन्जर
5011,eng_Latn,English,_Close All Folds
5011,ne,Nepali,सबै फोल्डहरू बन्द गर्नुहोस्
5012,eng_Latn,English,This list contains all extra directories containing plugins.
5012,ne,Nepali,यो सूचीले प्लगइनहरू समावेश सबै अन्य डाइरेक्टरीहरू छन्।
5013,eng_Latn,English,Tetravex
5013,ne,Nepali,टेट्राभेक्स
5014,eng_Latn,English,Rename
5014,ne,Nepali,पुन: नामाकरण गर्नुहोस्
5015,eng_Latn,English,Shift Righ_t and Move
5015,ne,Nepali,दायाँ शीफ्ट गर्नुहोस् र सार्नुहोस्
5016,eng_Latn,English,_Leave messages on server
5016,ne,Nepali,सर्भरमा सन्देशहरू छोड्नुहोस्
5017,eng_Latn,English,South _European (ISO-8859-3)
5017,ne,Nepali,दक्षिण युरोपेली (ISO-8859-3)
5018,eng_Latn,English,Emboss
5018,ne,Nepali,इम्बोस
5019,eng_Latn,English,Paste the clipboard
5019,ne,Nepali,क्लिपबोर्ड टाँस्नुहोस्
5020,eng_Latn,English,page tab list
5020,ne,Nepali,पृष्ठ ट्याब सूची
5021,eng_Latn,English,Print Size
5021,ne,Nepali,मुद्रण साइज
5022,eng_Latn,English,Document Relations
5022,ne,Nepali,कागजात सम्बन्धहरूNAME OF TRANSLATORS
5023,eng_Latn,English,Co_mpile (%s)
5023,ne,Nepali,कम्पाइल (%s)
5024,eng_Latn,English,paper size
5024,ne,Nepali,paper size
5025,eng_Latn,English,Orientation
5025,ne,Nepali,अभिमूखिकरण
5026,eng_Latn,English,_Contents
5026,ne,Nepali,सामाग्रीहरू
5027,eng_Latn,English,Whether there should be a tooltip on the item
5027,ne,Nepali,जहा सीमारेखा देखाइन सकिन्थ्यो वा सकिन्नथ्यो
5028,eng_Latn,English,Copyright © %Id–%Id The Files authors
5028,ne,Nepali,प्रतिलिपि अधिकार © १९९९-२००५ नटलस लेखक
5029,eng_Latn,English,_Accept License
5029,ne,Nepali,इजाजतपत्र स्वीकार गर्नुहोस्
5030,eng_Latn,English,%s:
5030,ne,Nepali,%s:
5031,eng_Latn,English,paper size
5031,ne,Nepali,paper size
5032,eng_Latn,English,Add files to an archive
5032,ne,Nepali,एउटा सङ्ग्रहमा फाइलहरू थप्नुहोस्Date Modified
5033,eng_Latn,English,Valid until:
5033,ne,Nepali,यससम्म वैध:
5034,eng_Latn,English,paper size
5034,ne,Nepali,paper size
5035,eng_Latn,English,Open
5035,ne,Nepali,खोल्नुहोस्
5036,eng_Latn,English,Create a new palette
5036,ne,Nepali,palettes-action
5037,eng_Latn,English,4 of a Kind [total]
5037,ne,Nepali,एक प्रकारको ४ [जम्मा]
5038,eng_Latn,English,Add _Script
5038,ne,Nepali,स्क्रिप्ट थप्नुहोस्
5039,eng_Latn,English,%s lb
5039,ne,Nepali,unit-symbols
5040,eng_Latn,English,Central and South America
5040,ne,Nepali,केन्द्रीय र साउथ अमेरिका
5041,eng_Latn,English,Automatically hide panel into corner
5041,ne,Nepali,कुनाम प्यानल स्वचालित रूपमा लुकाउनुहोस्
5042,eng_Latn,English,Evolution vCard Importer
5042,ne,Nepali,इभोल्युसन भी कार्ड आयातकर्ताn-pages
5043,eng_Latn,English,paper size
5043,ne,Nepali,paper size
5044,eng_Latn,English,_Print
5044,ne,Nepali,मुद्रण गर्नुहोस्Stock label
5045,eng_Latn,English,Error
5045,ne,Nepali,त्रुटि
5046,eng_Latn,English,Wrap after this length:
5046,ne,Nepali,यो लम्बाइ पछि बेर्नुहोस्:
5047,eng_Latn,English,"3.5 ""720KB"
5047,ne,Nepali,"3. 5 ""720KB"
5048,eng_Latn,English,Encoding
5048,ne,Nepali,सङ्केतन
5049,eng_Latn,English,No signature available
5049,ne,Nepali,वर्णन उपलब्ध छैन
5050,eng_Latn,English,Open
5050,ne,Nepali,खोल्नुहोस्
5051,eng_Latn,English,Testing Equality of 2 Variances (F-Test)
5051,ne,Nepali,२ चलहरूको समानता परीक्षण (एफ-टेस्ट)
5052,eng_Latn,English,Starting listing at result number:
5052,ne,Nepali,परिणाम सङ्ख्यामा सुरु भइरहेको :
5053,eng_Latn,English,Could not commit service
5053,ne,Nepali,सेवाहरू कमिट गर्न सकेन
5054,eng_Latn,English,Missing DSN name
5054,ne,Nepali,क्वेरी नाम हराइरहेको छ
5055,eng_Latn,English,Empty entity ';' seen; valid entities are: & &quot; &lt; &gt; &apos;
5055,ne,Nepali,खाली अस्तित्व ';' देखियो; वैध अस्तित्वहरू निम्न हुन : & &quot; &lt; &gt; &apos;
5056,eng_Latn,English,Feather Selection
5056,ne,Nepali,undo-type
5057,eng_Latn,English,_Stream Comment/Uncomment
5057,ne,Nepali,प्रवाह टिप्पणी गरिएको/टिप्पणी नगरिएको
5058,eng_Latn,English,Show the application's version
5058,ne,Nepali,अनुप्रयोग कन्फिगर गर्नुहोस्
5059,eng_Latn,English,"(c) 2004-2008, Gilles Caulier"
5059,ne,Nepali,यहाँ छवि थम्बनेलमा माउस बटनसँग दायाँ क्लिक गर्दा गर्न उपयुक्त कार्य चयन गर्नुहोस् ।
5060,eng_Latn,English,Text (rw-r--r--)
5060,ne,Nepali,पाठ (rw-r--r--)
5061,eng_Latn,English,paper size
5061,ne,Nepali,paper size
5062,eng_Latn,English,Create a clickable imagemap
5062,ne,Nepali,क्लिक योग्य छविमानचित्र सिर्जना गर्नुहोस्
5063,eng_Latn,English,No album selected
5063,ne,Nepali,कुनै क्यामेरा पत्ता लागेन
5064,eng_Latn,English,Calendar
5064,ne,Nepali,क्यालेन्डर
5065,eng_Latn,English,http://www.google.com/search?q=%samp;ie=UTF-8amp;oe=UTF-8
5065,ne,Nepali,http://www.google.com/search?q=%sie=UTF-8oe=UTF-8
5066,eng_Latn,English,You are searching for a three.
5066,ne,Nepali,तपाईँ %s खोजिरहनुभएको छ ।
5067,eng_Latn,English,Export bookmarks to a file
5067,ne,Nepali,एउटा फाइलमा पुस्तकचिनो निर्यात गर्नुहोस्
5068,eng_Latn,English,Could not create folder '%s': %s
5068,ne,Nepali,`%s' फोल्डर सिर्जना गर्न सकेन: %s
5069,eng_Latn,English,DateEdit Flags
5069,ne,Nepali,मिति सम्पादन झन्डा
5070,eng_Latn,English,Change _Date…
5070,ne,Nepali,मिति परिवर्तन गर्नुहोस्
5071,eng_Latn,English,Arabic (_IBM-864)
5071,ne,Nepali,अरेबिक (_IBM-864)
5072,eng_Latn,English,_Reload
5072,ne,Nepali,पुन: लोड गर्नुहोस्
5073,eng_Latn,English,%s hours
5073,ne,Nepali,unit-symbols
5074,eng_Latn,English,"IP Telephony, VoIP and Video Conferencing"
5074,ne,Nepali,"IP टेलिफोनी, VoIP र भिडियो कन्फेरेन्सिङ"
5075,eng_Latn,English,No more radio buttons.
5075,ne,Nepali,अरू रेडियो टाँकहरू छैनन् ।
5076,eng_Latn,English,%s:
5076,ne,Nepali,%s:
5077,eng_Latn,English,Check for new articles automatically
5077,ne,Nepali,नयाँ लेखका लागि स्वचालित रूपमा जाँच गर्नुहोस्
5078,eng_Latn,English,SSHFS Remote Synchronization User Name
