pair_id,sentence_id_a,sentence_id_b,lang_a,lang_b,text_a,text_b,similarity_score,same_sentence,match_label
9_10,3,3,Chinese,Japanese,孩子在花园里玩耍。,子供が庭で遊んでいる。,0.9933,True,
33_34,9,9,Chinese,Japanese,山上覆盖着雪。,山は雪に覆われている。,0.9933,True,
20_21,6,6,English,Chinese,She reads a book every night before sleeping.,她每晚睡前读一本书。,0.9931,True,
34_35,9,9,Japanese,Russian,山は雪に覆われている。,Гора покрыта снегом.,0.9926,True,
32_34,9,9,English,Japanese,The mountain is covered with snow.,山は雪に覆われている。,0.9916,True,
33_35,9,9,Chinese,Russian,山上覆盖着雪。,Гора покрыта снегом.,0.9915,True,
40_42,11,11,English,Japanese,The market opens every Sunday morning.,市場は毎週日曜日の朝に開く。,0.9906,True,
72_75,19,19,English,Russian,The old bridge was built two centuries ago.,Старый мост был построен два века назад.,0.9899,True,
32_35,9,9,English,Russian,The mountain is covered with snow.,Гора покрыта снегом.,0.9885,True,
65_66,17,17,Chinese,Japanese,学生们通过了考试。,生徒たちは試験に合格した。,0.9884,True,
20_23,6,6,English,Russian,She reads a book every night before sleeping.,Она читает книгу каждую ночь перед сном.,0.9874,True,
32_33,9,9,English,Chinese,The mountain is covered with snow.,山上覆盖着雪。,0.9873,True,
36_39,10,10,English,Russian,Children learn languages faster than adults.,"Дети учат языки быстрее, чем взрослые.",0.9872,True,
16_18,5,5,English,Japanese,The library opens at nine in the morning.,図書館は朝9時に開く。,0.9866,True,
12_15,4,4,English,Russian,Birds fly south in winter.,Птицы летят на юг зимой.,0.9856,True,
28_31,8,8,English,Russian,Doctors work hard to save lives.,"Врачи усердно работают, чтобы спасать жизни.",0.9855,True,
2_3,1,1,Japanese,Russian,太陽は東から昇る。,Солнце восходит на востоке.,0.9853,True,
0_3,1,1,English,Russian,The sun rises in the east.,Солнце восходит на востоке.,0.9853,True,
18_19,5,5,Japanese,Russian,図書館は朝9時に開く。,Библиотека открывается в девять утра.,0.9851,True,
25_27,7,7,Chinese,Russian,火车准时到达车站。,Поезд прибывает на станцию вовремя.,0.9843,True,
14_15,4,4,Japanese,Russian,鳥は冬に南へ飛ぶ。,Птицы летят на юг зимой.,0.9842,True,
1_2,1,1,Chinese,Japanese,太阳从东方升起。,太陽は東から昇る。,0.9836,True,
21_23,6,6,Chinese,Russian,她每晚睡前读一本书。,Она читает книгу каждую ночь перед сном.,0.9835,True,
26_27,7,7,Japanese,Russian,電車は時間通りに駅に到着する。,Поезд прибывает на станцию вовремя.,0.9833,True,
61_62,16,16,Chinese,Japanese,新鲜空气对健康有益。,新鮮な空気は健康に良い。,0.9832,True,
12_14,4,4,English,Japanese,Birds fly south in winter.,鳥は冬に南へ飛ぶ。,0.9831,True,
5_6,2,2,Chinese,Japanese,水在一百摄氏度时沸腾。,水は摂氏100度で沸騰する。,0.9828,True,
17_19,5,5,Chinese,Russian,图书馆早上九点开门。,Библиотека открывается в девять утра.,0.9824,True,
73_75,19,19,Chinese,Russian,这座古桥建于两个世纪前。,Старый мост был построен два века назад.,0.982,True,
8_11,3,3,English,Russian,The child is playing in the garden.,Ребёнок играет в саду.,0.9819,True,
69_71,18,18,Chinese,Russian,整晚大雨倾盆。,Всю ночь шёл сильный дождь.,0.9815,True,
53_54,14,14,Chinese,Japanese,他把钥匙忘在家里了。,彼は鍵を家に忘れた。,0.9807,True,
