sentence_id,language_name,noise_type,text
1,English_Clean,clean,"The Global Programme of Action Coordination Office, with the financial support of Belgium, is currently assisting Egypt, Nigeria, United Republic of Tanzania, Sri Lanka and Yemen to develop pilot national programmes of action for the protection of the marine environment from land-based activities."
1,English_CharNoise,char_noise,"Te Globgl Programme of Actio Coordinayion Office, with the finncial support of Belgium, is currently asssisting Egypt,Nigeria, United Republic of Tanzzania, Sri Lanka and Yemen to develop pilot national programmes of action for the protection of the marine enviroonment from land-basud activites."
1,English_Shuffled,word_shuffle,"The environment Sri of Action Coordination activities. with the is of Tanzania, Belgium, assisting currently Nigeria, Egypt, financial United Lanka of support protection Republic and Yemen Office, develop pilot national programmes of action for the Programme of the marine to from land-based Global"
1,English_CodeSwitch,code_switch,"我 Global で of Action Coordination Office, with the 就 support of 人 is currently assisting Egypt, Nigeria, 人 人 ます Tanzania, Sri Lanka and Yemen to develop pilot national も of action for を の of the 都 environment from land-based activities."
2,English_Clean,clean,The forum produced business contracts amounting to more than $24 million between Asian and African private companies.
2,English_CharNoise,char_noise,The forum produced business cotracts amounting to more than $24 million between Asian and AAfican private companies.
2,English_Shuffled,word_shuffle,The than produced business and African amounting more forum $24 Asian between million contracts to private companies.
2,English_CodeSwitch,code_switch,The forum produced business contracts amounting 的 more は $24 是 between Asian 的 African private companies.
3,English_Clean,clean,"But, during the 1990’s, and for reasons that are still notfully understood, the virus exploded into the general population.The number of infected South Africans (equivalent to the populationof Denmark) outstrips that of neighboring Mozambique, Lesotho,Botswana, Namibia, Swaziland, and Zimbabwe combined."
3,English_CharNoise,char_noise,"But, during the 1990’s, and  for reasons that are still nofully ucderstoo, the virus exploded into thee renera population.The number of infected Sut Africans (equivalent to th pvpulatipnof Denmark) outskrips tthat of neighbboring Mozambique, Lesotho,Botswana, Namibia, Swaaziland, and Zimnabwe combined."
3,English_Shuffled,word_shuffle,"But, combined. during of into populationof Denmark) that are and number understood, the virus population.The still the general South notfully 1990’s, infected exploded for (equivalent to the Africans reasons outstrips that Lesotho,Botswana, neighboring Mozambique, of Namibia, Swaziland, and Zimbabwe the"
3,English_CodeSwitch,code_switch,"But, during the 在 and for reasons that are still notfully understood, the virus exploded into the は population.The number of infected South Africans (equivalent to が populationof Denmark) outstrips that of neighboring Mozambique, Lesotho,Botswana, Namibia, Swaziland, ます Zimbabwe combined."
4,English_Clean,clean,Not since the inception of its mandate in 1968 has the Committee ever confronted such anger and misery among the Palestinian people and other Arabs in occupied territories and disrespect for their basic human rights and fundamental freedoms.
