sentence_id,lang_a,lang_b,similarity
1,English,Chinese,0.8459
2,English,Chinese,0.8619
3,English,Chinese,0.8373
4,English,Chinese,0.9226
5,English,Chinese,0.8989
6,English,Chinese,0.9302
7,English,Chinese,0.3546
8,English,Chinese,0.7682
9,English,Chinese,0.7495
10,English,Chinese,0.7799
11,English,Chinese,0.9631
12,English,Chinese,0.906
13,English,Chinese,0.6505
14,English,Chinese,0.8759
15,English,Chinese,0.9432
16,English,Chinese,0.7463
17,English,Chinese,0.9102
18,English,Chinese,0.6978
19,English,Chinese,0.8209
20,English,Chinese,0.9258
21,English,Chinese,0.7175
22,English,Chinese,0.944
23,English,Chinese,0.9391
24,English,Chinese,0.9236
25,English,Chinese,0.8137
26,English,Chinese,0.8084
27,English,Chinese,1.0
28,English,Chinese,0.7186
29,English,Chinese,0.8377
30,English,Chinese,0.8679
31,English,Chinese,0.947
32,English,Chinese,0.4573
33,English,Chinese,0.9325
34,English,Chinese,0.8315
35,English,Chinese,0.506
36,English,Chinese,0.738
37,English,Chinese,0.8415
38,English,Chinese,0.7622
39,English,Chinese,0.8631
40,English,Chinese,0.7847
41,English,Chinese,0.7209
42,English,Chinese,0.83
43,English,Chinese,0.8612
44,English,Chinese,0.8466
45,English,Chinese,0.9317
46,English,Chinese,0.8573
47,English,Chinese,0.8361
48,English,Chinese,0.8996
49,English,Chinese,0.8227
50,English,Chinese,0.8241
51,English,Chinese,0.7845
52,English,Chinese,0.6783
53,English,Chinese,0.9057
54,English,Chinese,0.7283
55,English,Chinese,0.6966
56,English,Chinese,0.8545
57,English,Chinese,0.8927
58,English,Chinese,0.9045
59,English,Chinese,0.7752
60,English,Chinese,0.8333
61,English,Chinese,0.9428
62,English,Chinese,0.7511
63,English,Chinese,0.7402
64,English,Chinese,0.5896
65,English,Chinese,0.838
66,English,Chinese,-0.0447
67,English,Chinese,0.8942
68,English,Chinese,0.6777
69,English,Chinese,0.9157
70,English,Chinese,0.9635
71,English,Chinese,0.7172
72,English,Chinese,0.9683
73,English,Chinese,0.8285
74,English,Chinese,0.8973
75,English,Chinese,0.2376
76,English,Chinese,0.7256
77,English,Chinese,0.7439
78,English,Chinese,0.356
79,English,Chinese,0.8487
80,English,Chinese,0.8056
81,English,Chinese,0.9258
82,English,Chinese,0.8804
83,English,Chinese,0.1953
84,English,Chinese,0.8041
85,English,Chinese,0.6519
86,English,Chinese,0.4172
87,English,Chinese,0.5443
88,English,Chinese,0.8021
89,English,Chinese,0.8069
90,English,Chinese,0.8707
91,English,Chinese,0.839
92,English,Chinese,0.9495
93,English,Chinese,0.5634
94,English,Chinese,0.9221
95,English,Chinese,0.8548
96,English,Chinese,0.8793
97,English,Chinese,0.8339
98,English,Chinese,0.9856
99,English,Chinese,0.8389
100,English,Chinese,0.7695
101,English,Chinese,0.8806
102,English,Chinese,0.2912
103,English,Chinese,0.8677
104,English,Chinese,0.922
105,English,Chinese,0.8442
