sentence_id,language_code,language_name,pair_language,text
1,eng_Latn,English,Chinese,Sixty-first session
1,zh,Chinese,Chinese,第六十一届会议
2,eng_Latn,English,Chinese,I took some medicine for my mu for my mu my muscular for my muscular...
2,zh,Chinese,Chinese,减轻酸... 酸痛的药 减轻酸痛的药
3,eng_Latn,English,Chinese,It's a challenge. God is challenging you. He's calling you a chump.
3,zh,Chinese,Chinese,上帝在挑战你，他说你是笨蛋
4,eng_Latn,English,Chinese,- Lucinda?
4,zh,Chinese,Chinese,- 盧辛達？
5,eng_Latn,English,Chinese,Introduction
5,zh,Chinese,Chinese,一. 导言
6,eng_Latn,English,Chinese,Eric Topol: The wireless future of medicine
6,zh,Chinese,Chinese,Eric Topol：未来医疗的无线化
7,eng_Latn,English,Chinese,"Damn it, Vaughn!"
7,zh,Chinese,Chinese,"妈的, 沃恩!"
8,eng_Latn,English,Chinese,"General Recommendation XXII (Forty-ninth session, 1996)*"
8,zh,Chinese,Chinese,一般性建议二十一 (第四十八届会议， 1996年)*
9,eng_Latn,English,Chinese,"- Well, what about the witness at the bar?"
9,zh,Chinese,Chinese,在酒吧的那位证人呢
10,eng_Latn,English,Chinese,A land where the powerful do not prey on the powerless.
10,zh,Chinese,Chinese,一片强者不会剥削弱者的净土
11,eng_Latn,English,Chinese,It's funny.
11,zh,Chinese,Chinese,这很有趣。
12,eng_Latn,English,Chinese,Johnny Sack?
12,zh,Chinese,Chinese,強尼沙克？
13,eng_Latn,English,Chinese,I just want you to be you again.
13,zh,Chinese,Chinese,我只是想让你变成以前的你而已。 I just want you to be you again.
14,eng_Latn,English,Chinese,"48 Pacific Daily News, Year in Review 2002, “Education” (see www.guampdn.com)."
14,zh,Chinese,Chinese,48 《太平洋日报》，《2002年回顾》，“教育”（见www.guampdn.com）。
15,eng_Latn,English,Chinese,"- I'm glad to hear that because I was wondering if perhaps you could spare us a few policemen,"
15,zh,Chinese,Chinese,- 你这么说我很高兴 因为我不知道 或许你愿意派几个警察
16,eng_Latn,English,Chinese,The United Nations Development Programme has a role to play in each country in this regard.
16,zh,Chinese,Chinese,在这方面，联合国开发计划署可在每个国家发挥作用。
17,eng_Latn,English,Chinese,I won't leave you.
17,zh,Chinese,Chinese,我不会离开你的
18,eng_Latn,English,Chinese,- You want to do it?
18,zh,Chinese,Chinese,-You want to do it?
19,eng_Latn,English,Chinese,You can do that with a chute on your back or a bullet in your head.
19,zh,Chinese,Chinese,你可以背上降落傘跳下去
20,eng_Latn,English,Chinese,Agenda item 49
20,zh,Chinese,Chinese,议程项目49
21,eng_Latn,English,Chinese,She hoped that Algeria would be able to state in its next report that it had removed its reservations to the Convention.
21,zh,Chinese,Chinese,她希望阿尔及利亚能在下一次报告中宣布撤销对《公约》的保留意见。
22,eng_Latn,English,Chinese,The Executive Board shall make this information publicly available and include it in its reports to the COP/MOP.
22,zh,Chinese,Chinese,执行理事会应公布该信息并将其纳入提交《议定书》/《公约》缔约方会议的报告中。
23,eng_Latn,English,Chinese,Thas just a myth. And is one I'd be happy to disprove.
23,zh,Chinese,Chinese,传说是这样的 这也是我乐意去 证实这是错误的理论之一
24,eng_Latn,English,Chinese,"I can't help you, man."
24,zh,Chinese,Chinese,我不能帮你，伙计
25,eng_Latn,English,Chinese,"State Secretary, Ministry of Housing, Spatial Planning and the Environment"
25,zh,Chinese,Chinese,"State Secretary, Ministry of Housing, Spatial Planning and the Environment"
26,eng_Latn,English,Chinese,HLC is also concerned with development issues.
26,zh,Chinese,Chinese,此外，人类哺乳研究中心也关注发展问题。
27,eng_Latn,English,Chinese,Don't do anything stupid.
27,zh,Chinese,Chinese,不要做任何傻事。
28,eng_Latn,English,Chinese,"No, please, stop!"
28,zh,Chinese,Chinese,不要 求你了 住手
29,eng_Latn,English,Chinese,You can stay with me until I find you a new place.
