encoder,sentence_id,lang_a,lang_b,similarity
MiniLM,1,English,Chinese,0.8459
MiniLM,2,English,Chinese,0.8619
MiniLM,3,English,Chinese,0.8373
MiniLM,4,English,Chinese,0.9226
MiniLM,5,English,Chinese,0.8989
MiniLM,6,English,Chinese,0.9302
MiniLM,7,English,Chinese,0.3546
MiniLM,8,English,Chinese,0.7682
MiniLM,9,English,Chinese,0.7495
MiniLM,10,English,Chinese,0.7799
MiniLM,11,English,Chinese,0.9631
MiniLM,12,English,Chinese,0.906
MiniLM,13,English,Chinese,0.6505
MiniLM,14,English,Chinese,0.8759
MiniLM,15,English,Chinese,0.9432
MiniLM,16,English,Chinese,0.7463
MiniLM,17,English,Chinese,0.9102
MiniLM,18,English,Chinese,0.6978
MiniLM,19,English,Chinese,0.8209
MiniLM,20,English,Chinese,0.9258
MiniLM,21,English,Chinese,0.7175
MiniLM,22,English,Chinese,0.944
MiniLM,23,English,Chinese,0.9391
MiniLM,24,English,Chinese,0.9236
MiniLM,25,English,Chinese,0.8137
MiniLM,26,English,Chinese,0.8084
MiniLM,27,English,Chinese,1.0
MiniLM,28,English,Chinese,0.7186
MiniLM,29,English,Chinese,0.8377
MiniLM,30,English,Chinese,0.8679
MiniLM,31,English,Chinese,0.947
MiniLM,32,English,Chinese,0.4573
MiniLM,33,English,Chinese,0.9325
MiniLM,34,English,Chinese,0.8315
MiniLM,35,English,Chinese,0.506
MiniLM,36,English,Chinese,0.738
MiniLM,37,English,Chinese,0.8415
MiniLM,38,English,Chinese,0.7622
MiniLM,39,English,Chinese,0.8631
MiniLM,40,English,Chinese,0.7847
MiniLM,41,English,Chinese,0.7209
MiniLM,42,English,Chinese,0.83
MiniLM,43,English,Chinese,0.8612
MiniLM,44,English,Chinese,0.8466
MiniLM,45,English,Chinese,0.9317
MiniLM,46,English,Chinese,0.8573
MiniLM,47,English,Chinese,0.8361
MiniLM,48,English,Chinese,0.8996
MiniLM,49,English,Chinese,0.8227
MiniLM,50,English,Chinese,0.8241
MiniLM,51,English,Chinese,0.7845
MiniLM,52,English,Chinese,0.6783
MiniLM,53,English,Chinese,0.9057
MiniLM,54,English,Chinese,0.7283
MiniLM,55,English,Chinese,0.6966
MiniLM,56,English,Chinese,0.8545
MiniLM,57,English,Chinese,0.8927
MiniLM,58,English,Chinese,0.9045
MiniLM,59,English,Chinese,0.7752
MiniLM,60,English,Chinese,0.8333
MiniLM,61,English,Chinese,0.9428
MiniLM,62,English,Chinese,0.7511
MiniLM,63,English,Chinese,0.7402
MiniLM,64,English,Chinese,0.5896
MiniLM,65,English,Chinese,0.838
MiniLM,66,English,Chinese,-0.0447
MiniLM,67,English,Chinese,0.8942
MiniLM,68,English,Chinese,0.6777
MiniLM,69,English,Chinese,0.9157
MiniLM,70,English,Chinese,0.9635
MiniLM,71,English,Chinese,0.7172
MiniLM,72,English,Chinese,0.9683
MiniLM,73,English,Chinese,0.8285
MiniLM,74,English,Chinese,0.8973
MiniLM,75,English,Chinese,0.2376
MiniLM,76,English,Chinese,0.7256
MiniLM,77,English,Chinese,0.7439
MiniLM,78,English,Chinese,0.356
MiniLM,79,English,Chinese,0.8487
MiniLM,80,English,Chinese,0.8056
MiniLM,81,English,Chinese,0.9258
MiniLM,82,English,Chinese,0.8804
MiniLM,83,English,Chinese,0.1953
MiniLM,84,English,Chinese,0.8041
MiniLM,85,English,Chinese,0.6519
MiniLM,86,English,Chinese,0.4172
MiniLM,87,English,Chinese,0.5443
MiniLM,88,English,Chinese,0.8021
MiniLM,89,English,Chinese,0.8069
MiniLM,90,English,Chinese,0.8707
MiniLM,91,English,Chinese,0.839
MiniLM,92,English,Chinese,0.9495
MiniLM,93,English,Chinese,0.5634
MiniLM,94,English,Chinese,0.9221
MiniLM,95,English,Chinese,0.8548
MiniLM,96,English,Chinese,0.8793
MiniLM,97,English,Chinese,0.8339
MiniLM,98,English,Chinese,0.9856
MiniLM,99,English,Chinese,0.8389
MiniLM,100,English,Chinese,0.7695
MiniLM,101,English,Chinese,0.8806
MiniLM,102,English,Chinese,0.2912
MiniLM,103,English,Chinese,0.8677
MiniLM,104,English,Chinese,0.922
MiniLM,105,English,Chinese,0.8442
MiniLM,106,English,Chinese,0.9466
MiniLM,107,English,Chinese,0.8548
MiniLM,108,English,Chinese,0.7847
MiniLM,109,English,Chinese,0.7954
MiniLM,110,English,Chinese,0.8628
MiniLM,111,English,Chinese,0.9224
MiniLM,112,English,Chinese,0.9892
MiniLM,113,English,Chinese,0.9808
MiniLM,114,English,Chinese,0.5713
MiniLM,115,English,Chinese,0.9472
MiniLM,116,English,Chinese,0.7703
MiniLM,117,English,Chinese,0.2594
MiniLM,118,English,Chinese,0.5003
MiniLM,119,English,Chinese,1.0
MiniLM,120,English,Chinese,0.8107
MiniLM,121,English,Chinese,0.811
MiniLM,122,English,Chinese,0.8571
MiniLM,123,English,Chinese,0.9094
MiniLM,124,English,Chinese,0.9086
MiniLM,125,English,Chinese,0.6124
MiniLM,126,English,Chinese,0.8178
MiniLM,127,English,Chinese,0.5185
MiniLM,128,English,Chinese,0.9285
MiniLM,129,English,Chinese,0.9254
MiniLM,130,English,Chinese,0.9464
MiniLM,131,English,Chinese,0.3907
MiniLM,132,English,Chinese,0.8623
MiniLM,133,English,Chinese,0.8275
MiniLM,134,English,Chinese,0.8668
MiniLM,135,English,Chinese,0.7837
MiniLM,136,English,Chinese,0.5934
MiniLM,137,English,Chinese,0.7628
MiniLM,138,English,Chinese,0.8234
MiniLM,139,English,Chinese,0.4912
MiniLM,140,English,Chinese,0.9379
MiniLM,141,English,Chinese,0.9566
MiniLM,142,English,Chinese,0.9144
MiniLM,143,English,Chinese,0.8794
MiniLM,144,English,Chinese,0.9724
MiniLM,145,English,Chinese,0.7606
MiniLM,146,English,Chinese,0.7155
MiniLM,147,English,Chinese,0.0944
MiniLM,148,English,Chinese,0.8896
MiniLM,149,English,Chinese,0.9086
MiniLM,150,English,Chinese,0.8364
MiniLM,151,English,Chinese,0.9682
MiniLM,152,English,Chinese,0.7368
MiniLM,153,English,Chinese,0.821
MiniLM,154,English,Chinese,0.7857
MiniLM,155,English,Chinese,0.9104
MiniLM,156,English,Chinese,0.9295
